場域,地址,緯度,經度,開館資訊
嘉義文學館,嘉義市忠孝路275號,23.48073029,120.4568235,館室開放時間：09:00～17:00 （週二～週日）/ 週一全日休館 / 民俗節日、國定假日、選舉日 全面休館
文化局圖書館,嘉義市東區忠孝路275號,23.48775736,120.4532998,休館日：逢週一、國定假日及選舉日
黃賓圖書館,嘉義市延平街328號,23.4770433,120.4491227,待補
世賢圖書館,嘉義市世賢路一段685號,23.49032138,120.4304277,待補
嘉義市立博物館,嘉義市忠孝路275-1號,23.48737493,120.4521773,開放時間：09:00 ~ 17:00(週一休館，其餘休館時間依館方公告為準)
嘉義市立美術館,嘉義市西區廣寧街101號,23.47721587,120.4422778,待補
嘉義市實驗木場,嘉義市東區維新路134巷24號,23.48512728,120.4592139,待補
祥太文化館,嘉義市大雅路二段285巷30號,23.47714972,120.4774186,週一至週五預約參觀；週日開放參觀09：30－12：00，14：00－16：30（週六休館）
愛木村,嘉義市東區文化路909-3號,23.50468293,120.4482261,開放時間：週一、週三至週日09：00－17：30（週二休館）
嘉義市史蹟資料館,嘉義市東區公園街42號,23.48117084,120.4683127,開放時間：週一至週日 10：00~18：00  (每月公休另行公告)
許世賢博士紀念館,嘉義市西區世賢路一段685號3樓,23.49000236,120.4297215,週二至週日09：00－17：00（週一休館）
